,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS
84,Soukya Hospital,"Vidyaranyapura, Bangalore",8.0,20.0
85,Milann - The Fertility Center,"JP Nagar 1 Phase, Bangalore",15.0,25.0
86,Tamara Hospital & IVF Centre,"Rajajinagar, Bangalore",6.0,30.0
87,Dr Bhargavi Reddy Women & Children Hospital,"Indiranagar, Bangalore",9.0,15.0
88,Fortis Hospital,"Nagarbhavi, Bangalore",36.0,75.0
89,Devi Eye Hospital,"Koramangala 6 Block, Bangalore",5.0,10.0
90,Manjushree Speciality Hospital,"Ulsoor, Bangalore",9.0,30.0
91,Dr Rudrappa First Class Eye Care Hospital,"Richmond Town, Bangalore",6.0,15.0
92,Sri Vinayaka Nursing Home,"HAL 2nd Stage, Bangalore",2.0,3.0
93,Neha Prakash Hospital,"Yelahanka, Bangalore",9.0,50.0
94,Milann - The Fertility Center,"Indiranagar, Bangalore",7.0,10.0
95,NRR Hospitals,"Jalahalli, Bangalore",25.0,20.0
96,Cloudnine Hospital,"Whitefield, Bangalore",22.0,13.0
97,Rajashri Grandhim Speciality Hospital,"Bannerghatta Road, Bangalore",7.0,20.0
98,Vitalife Clinic,"Whitefield, Bangalore",10.0,30.0
99,RC Hospital ,"Rajarajeshwarinagar, Bangalore",4.0,20.0
100,Shree  Dhanvantari Ayurveda Hospital,"Rajajinagar, Bangalore",3.0,6.0
101,S K Hospital,"Nagarbhavi, Bangalore",11.0,20.0
102,Excel Care Hospital,"Banashankari 2nd Stage, Bangalore",21.0,44.0
103,Belle Vue's Cambridge Hospital,"Ulsoor, Bangalore",2.0,25.0
104,Unity Life Line Hospital,"Nagarbhavi, Bangalore",24.0,60.0
105,Chinmaya Narayana Super Speciality Centre,"Indiranagar, Bangalore",6.0,
106,Lakshmi Hospital.,"Ganganagar, Bangalore",2.0,20.0
107,Rainbow Clinic& Diagnostic Laboratory ,"JP Nagar 7 Phase, Bangalore",4.0,
108,Chaitanya Hospital,"RT Nagar, Bangalore",8.0,
109,Sri Sai Krupa Hospitals,"Mathikere - BEL, Bangalore",21.0,20.0
110,Saikrupa Hospital For Women & Surgical Center,"Vijayanagar, Bangalore",1.0,20.0
111,Sankara Eye Hospital,"Kundalahalli, Bangalore",20.0,25.0
112,HealthEminds,"Whitefield, Bangalore",17.0,
113,Manipal Ankur Andrology & Reproductive Services,"Old Airport Road, Bangalore",5.0,
114,Dr Malathi Manipal Hospital,"Jayanagar, Bangalore",1.0,
115,Gayathri Hospital,"Vijayanagar, Bangalore",3.0,15.0
116,Nelivigi Eye Hospital And Surgical Centre.,"Bellandur, Bangalore",1.0,
117,Sparsh Hospital,"Hosur Road, Bangalore",4.0,150.0
118,Sidvin Hospital ,"Rajajinagar, Bangalore",16.0,50.0
119,Siddanth Hospital ENT & Multispeciality Centre,"Siddapura, Bangalore",1.0,10.0
120,Geeta Nursing Home,"RT Nagar, Bangalore",1.0,
121,Sunanda Gopalaswamy Hospital,"Banashankari 3rd Stage, Bangalore",6.0,
122,Sri Venkateswara Hospital,"Madiwala, Bangalore",2.0,30.0
123,Seventh Day Adventist Hospital,"Frazer Town, Bangalore",12.0,
124,Suguna Hosptial,"Rajajinagar, Bangalore",34.0,
125,Live 100 Hospital,"Singasandra, Bangalore",3.0,150.0
126,Poornima Hospital,"RT Nagar, Bangalore",18.0,30.0
127,WestGate Medical Centre & Diagnostics,"Basavanagudi, Bangalore",12.0,
128,Shanthi Hospital and Research Center,"Jayanagar 7 Block, Bangalore",8.0,40.0
129,Ovum Fertility & Women's Health Center,"Kalyan Nagar, Bangalore",11.0,6.0
130,Patil Hospital,"KR Puram, Bangalore",15.0,
131,Vasan Eye Care Hospital,"Marathahalli, Bangalore",8.0,7.0
132,Sevakshetra Hospital,"Banashankari 2nd Stage, Bangalore",20.0,
133,Prashanth Hospital,"Bommanahalli, Bangalore",7.0,80.0
134,Varalakshmi Hospital,"BTM Layout, Bangalore",7.0,25.0
135,Shanbhag Hospital ,"Basaveshwaranagar, Bangalore",7.0,
136,Nano Hospitals,"Hulimavu, Bangalore",26.0,30.0
137,NU Hospitals,"Rajajinagar, Bangalore",15.0,100.0
138,Punarjani Ayurveda Multi-Speciality Hospital,"Sarjapur Road, Bangalore",8.0,22.0
139,P D Hinduja Sindhi Hospital ,"Sampangiramnagar, Bangalore",15.0,100.0
140,Sri Lakshmi Super Speciality Hospital,"CV Raman Nagar, Bangalore",9.0,50.0
141,K C General Hospital ,"Malleswaram, Bangalore",11.0,
142,Arunodaya Hospital,"Jalahalli, Bangalore",11.0,
143,Prasad Eye Hospital,"Koramangala, Bangalore",1.0,2.0
144,Shekhar Hospital,"Jayanagar, Bangalore",12.0,24.0
145,Gurushree Hospital,"Vijayanagar, Bangalore",20.0,
146,Pristine Hospital,"West Of Chord Road, Bangalore",21.0,100.0
147,Banaswadi medical centre,"Banaswadi, Bangalore",7.0,
148,Vasan Eye Care Hospital,"RT Nagar, Bangalore",8.0,11.0
149,Ramakrishna Smart Hospitals,"Electronics City, Bangalore",2.0,6.0
150,Gangothri Hospital,"HSR Layout, Bangalore",4.0,
151,Vinayaka Hospital,"Hongasandra, Bangalore",3.0,15.0
152,Spandana Hospital For Mother And Child,"Ramamurthy Nagar, Bangalore",2.0,5.0
153,Phoenix Hospital,"Mission Road, Bangalore",25.0,
154,Om Shakthi Hospital,"Yelahanka, Bangalore",14.0,
155,Prasantha Hospital,"Hosur Road, Bangalore",5.0,
156,Y.K. Hospital,"Jigani, Bangalore",11.0,
157,Shreya Hospital,"Kengeri, Bangalore",5.0,20.0
158,Gunasheela Surgical And Maternity Center,"Basavanagudi, Bangalore",3.0,60.0
159,Wellspring Mother & Child Hospital,"Sadashivanagar, Bangalore",8.0,25.0
160,Trinity Hospital and Heart Foundation,"Basavanagudi, Bangalore",6.0,100.0
161,Sagar Hospitals,"Banashankari, Bangalore",2.0,415.0
162,Geetha Maternity And Surgical Centre,"Rajarajeshwarinagar, Bangalore",6.0,11.0
163,Sathya Hospital,"Kammana Halli, Bangalore",6.0,
164,Spectrum Physio Centre,"Richmond Town, Bangalore",6.0,75.0
165,City Hospital,"Frazer Town, Bangalore",1.0,
166,Dr. Sailaja's Super Speciality Eye Hospital,"Horamavu, Bangalore",4.0,50.0
167,Apoorva Diagnostics Centre,"Indiranagar, Bangalore",9.0,
168,Vijayanagar Global Hospital,"Vijayanagar, Bangalore",4.0,
169,The Eye Foundation Eye hospital,"Bellandur, Bangalore",16.0,
170,Rajnandini Hospital,"Konanakunte, Bangalore",2.0,
171,Vinayaka Hospital,"Jayanagar, Bangalore",8.0,8.0
172,Bangalore Fetal Medicine Centre,"Richmond Town, Bangalore",2.0,
173,N D R Hospital,"Yelahanka, Bangalore",10.0,15.0
174,Medicure Hospitals,"Jayanagar, Bangalore",4.0,
175,Nagappa Hadli Hospital,"Vidyaranyapura, Bangalore",3.0,
176,Bangalore Hospital ,"Jayanagar, Bangalore",22.0,55.0
177,Punya Hospital,"Basaveshwaranagar, Bangalore",1.0,60.0
178,Yogananda Multispecialty Hospital,"Padmanabhanagar, Bangalore",3.0,30.0
179,Ring Road Hospital,"Banashankari, Bangalore",1.0,10.0
180,Bgs Global Hospitals,"Kengeri, Bangalore",18.0,10.0
181,Zion Hospital,"Kammana Halli, Bangalore",10.0,55.0
182,Divine Speciality Hospital,"Shivajinagar, Bangalore",22.0,
183,Sri Sai Nothside Hospital,"Sahakaranagar, Bangalore",1.0,
184,N.D.R Medical Centre,"Yelahanka, Bangalore",3.0,20.0
185,Nethradhama Superspeciality Eye Hospital,"Rajajinagar, Bangalore",1.0,
186,Sun Orthopaedic Hospital,"Mathikere - BEL, Bangalore",1.0,20.0
187,Sri Sai Eye Hospital,"Ramamurthy Nagar, Bangalore",19.0,
188,Ravi Kirloskar Memorial Hospital,"Peenya, Bangalore",23.0,
189,Sita Bhateja Specialty Hospital,"Langford Road, Bangalore",1.0,30.0
190,Pranavam Ayurvedic Treatment Centre,"Koramangala 1 Block, Bangalore",9.0,2.0
191,Sri Vinayaka Hospital,"Chandra Layout, Bangalore",3.0,
192,Samprathi Eye Hospital and Squint Centre,"Shivajinagar, Bangalore",29.0,
193,Aryan Hospital,"Nagarbhavi, Bangalore",6.0,50.0
194,Bharat Nursing Home,"JP Nagar, Bangalore",3.0,
195,Dr Levine Memorial Hospital,"Bellandur, Bangalore",54.0,
196,Kaade Hospital,"Rajajinagar, Bangalore",5.0,
197,Dr. Agarwals Eye Hospital - Basaveshwara Nagar,"Basaveshwaranagar, Bangalore",4.0,
198,Supurva Hospitals,"Kanakpura Road, Bangalore",14.0,85.0
199,Bangalore Institute of Gastroenterology,"Jayanagar, Bangalore",9.0,100.0
200,Kamath Nursing home,"Banaswadi, Bangalore",2.0,5.0
201,Eshwar Women & Day Care Hospital,"Jakkur, Bangalore",30.0,10.0
202,Columbia Asia Hospital,"Yeshwanthpur, Bangalore",1.0,160.0
203,Sri Lakshmi Hospital,"Electronics City, Bangalore",5.0,
204,A M Hospital,"Vijayanagar, Bangalore",19.0,
205,Green City Hospital,"JP Nagar 6 Phase, Bangalore",62.0,25.0
206,Columbia Asia Hospital,"Whitefield, Bangalore",18.0,150.0
207,Agadi Centre For Advanced Dental Care,"Wilson Garden, Bangalore",8.0,100.0
208,Zamindar Microsurgical Eye Centre,"Kalyan Nagar, Bangalore",17.0,
209,NRV Hospital,"Vidyanagar, Bangalore",1.0,
210,Chiraayu Hospital,"Jayamahal, Bangalore",41.0,
211,Fortis la Femme,"Richmond Town, Bangalore",3.0,67.0
212,Manipal Ankur,"JP Nagar 1 Phase, Bangalore",12.0,11.0
213,Abhayahasta Multispeciality Hospital,"Kaggadasapura, Bangalore",20.0,
214,Apollo Hospital,"Jayanagar, Bangalore",2.0,150.0
215,Deepashree Nursing and Rehabilitation Centre,"Nagarbhavi, Bangalore",2.0,
216,Sarojini hospital,"Dasarahalli, Bangalore",2.0,30.0
217,Sai Krupa Multi Speciality Dental Care Hospital,"Basaveshwaranagar, Bangalore",1.0,5.0
218,Kosmoderma Skin & Hair Clinics,"Whitefield, Bangalore",1.0,
219,Apollo Hospital,"Malleswaram, Bangalore",9.0,
220,Ramachandra Hospital,"Dasarahalli, Bangalore",2.0,
221,Eshwar Hospital,"Mahalakshmi Layout, Bangalore",23.0,11.0
222,Ovum Woman & Child Speciality Hospital,"Banaswadi, Bangalore",28.0,28.0
223,Devagiri Hospital,"Banashankari, Bangalore",6.0,50.0
224,T R Hospital,"JP Nagar, Bangalore",2.0,
225,MGA Hospital,"Marathahalli, Bangalore",1.0,15.0
226,Apollo Spectra,"Koramangala 4 Block, Bangalore",19.0,8.0
227,Sri Lakshmi Multi Speciality Hospital,"Sunkadakatte, Bangalore",31.0,
228,Brindhavvan Areion Hospital,"Chamarajpet, Bangalore",2.0,110.0
229,Nova IVI Fertility,"Sadashivanagar, Bangalore",2.0,9.0
230,Apple Hospital,"Yelahanka, Bangalore",3.0,
231,Bilva Hospital,"Malleswaram, Bangalore",1.0,34.0
232,Ramkrishna Nursing Home,"Jayanagar, Bangalore",3.0,10.0
233,Mamatha Hospital,"Sanjay Nagar, Bangalore",1.0,10.0
234,Matthew Hospital,"HSR Layout, Bangalore",1.0,10.0
235,Surya's Hospital,"JP Nagar 4 Phase, Bangalore",2.0,
236,Anyuta Hospital,"Richmond Town, Bangalore",3.0,
237,J P Nursing Home,"Nandini Layout, Bangalore",3.0,20.0
238,Sri Ram Speciality Hospital,"Viveknagar, Bangalore",5.0,25.0
239,Venkateswara Hospital,"VV Puram, Bangalore",11.0,
240,Deeksha Hospital,"Yelahanka, Bangalore",12.0,
241,Cloudnine Clinic,"Brookefield, Bangalore",1.0,4.0
242,Kanaka Maternity Hospital,"HSR Layout, Bangalore",3.0,8.0
243,Manipal Poly Clinic And Nursing Home,"Ramamurthy Nagar, Bangalore",2.0,
244,C.M.Diabetes Centre- Karthik Hospital,"Wilson Garden, Bangalore",7.0,12.0
245,Ramesh Hospital,"Rajajinagar, Bangalore",2.0,
246,Shobha Hospital,"BTM Layout, Bangalore",26.0,2.0
247,Cloudnine Hospital,"Jayanagar, Bangalore",5.0,
248,Vasan Eye Care,"HSR Layout, Bangalore",4.0,
249,Westend Speciality Petcare And Nursing Center,"Seshadripuram, Bangalore",28.0,5.0
250,Shree Chakra Hospital,"Hosur Road, Bangalore",7.0,18.0
251,Sri Srinivasa Oncology Hospital,"Rajajinagar, Bangalore",3.0,10.0
252,BHARATHY HOSPITAL,"Vijayanagar, Bangalore",42.0,30.0
253,Santosh Hospital,"Frazer Town, Bangalore",3.0,100.0
254,Poornayu Ayurveda Hospital,"Rajajinagar, Bangalore",2.0,
255,Roshini Nursing Home,"Wilson Garden, Bangalore",2.0,
256,Cloudnine Hospital,"Old Airport Road, Bangalore",1.0,50.0
257,AyurVAID Hospitals (Ayurveda),"Ramamurthy Nagar, Bangalore",17.0,15.0
258,CMRA Hospital,"Kundalahalli, Bangalore",6.0,5.0
259,Shreenagar Nursing Home,"Srinagar, Bangalore",18.0,30.0
260,B. W. Lions Super Speciality Eye Hospital,"Kalasipalayam, Bangalore",3.0,25.0
261,Essential Hospital,"Nagarbhavi, Bangalore",11.0,
262,Vivekananda Hospital,"Bannerghatta Road, Bangalore",2.0,15.0
263,M.G Speciality Health Care,"Wilson Garden, Bangalore",3.0,
264,Enhanced Health Care,"Indiranagar, Bangalore",4.0,20.0
265,Manasa Hospital,"Vijayanagar, Bangalore",18.0,
266,"Vardhan Fertility, Laparoscopy  & Women Care Centre","Banaswadi, Bangalore",8.0,9.0
267,Nayak Hospital,"Rajajinagar, Bangalore",2.0,
268,Dr. Agarwal's Eye Hospital,"JP Nagar 3 Phase, Bangalore",6.0,25.0
269,Springleaf Healthcare,"Electronics City, Bangalore",6.0,25.0
270,HCG - Health Care Global,"Sampangiramnagar, Bangalore",22.0,5.0
271,Myo Medex - Ace Speciality Clinic,"Bannerghatta Road, Bangalore",6.0,
272,Lokhande's Multispecialty Hospital,"Kalyan Nagar, Bangalore",2.0,15.0
273,Devi Eye Hospital,"HSR Layout, Bangalore",1.0,5.0
274,People Tree Hospitals - Meenakshi,"Banashankari, Bangalore",1.0,100.0
275,GARDEN CITY HOSPITAL,"Jayanagar 3 Block, Bangalore",33.0,50.0
276,Icon Hospital Maternity & Multispeciality Centre,"Hebbal Kempapura, Bangalore",3.0,20.0
277,Punarjyoti Eye Hospital,"Wilson Garden, Bangalore",25.0,20.0
278,Lake View Hospital,"HSR Layout, Bangalore",5.0,20.0
279,Sagar Hospital DSI,"Banashankari, Bangalore",21.0,400.0
280,My Health World,"Indiranagar, Bangalore",25.0,
281,BSA Nursing Home,"Bannerghatta Road, Bangalore",13.0,3.0
282,People Tree Hospitals at Chris,"Kalyan Nagar, Bangalore",1.0,100.0
283,Manjunath Hospital,"Wilson Garden, Bangalore",59.0,30.0
284,GIA Hospital,"Vijayanagar, Bangalore",15.0,25.0
285,Jayashree Multispeciality Hospital,"Begur, Bangalore",9.0,70.0
286,Sparsh Hospital for Advanced Surgeries,"Vasanthnagar, Bangalore",11.0,120.0
287,Vagus Superspeciality Hospital,"Malleswaram, Bangalore",1.0,150.0
288,Manipal Northside Hospital - OP Wing,"Malleswaram, Bangalore",4.0,
289,Shishuka Children's Specialty Hospital,"HRBR Layout, Bangalore",7.0,50.0
290,Cloudnine Clinic,"Sahakaranagar, Bangalore",1.0,
291,Cytecare Cancer Hospitals,"Yelahanka, Bangalore",7.0,150.0
292,R C Hospital,"Rajarajeshwarinagar, Bangalore",1.0,20.0
293,Kusuma Hospital,"Banashankari 3rd Stage, Bangalore",28.0,30.0
294,Church Of South India Hospital,"Shivajinagar, Bangalore",6.0,
295,Dr. Rao's Maternity Hospital & Center for Assisted Reproduction,"Basaveshwaranagar, Bangalore",4.0,
296,BMS Hospital,"Basavanagudi, Bangalore",7.0,8.0
297,Marvel Multispeciality Hospital,"Koramangala 1 Block, Bangalore",89.0,50.0
298,Femiint Health,"Whitefield, Bangalore",1.0,20.0
299,White Lotus Healthcare Clinic,"JP Nagar, Bangalore",6.0,
300,Primus Hospitals,"HSR Layout, Bangalore",1.0,55.0
301,Vasan Dental Care,"Rajajinagar, Bangalore",24.0,
302,Fortis Hospital,"Bannerghatta Road, Bangalore",1.0,400.0
303,Narayana Nethralaya,"Bannerghatta Road, Bangalore",2.0,21.0
304,Hope Hospital,"Munnekollal, Bangalore",2.0,20.0
305,Vidya Eye Hospital,"Vijayanagar, Bangalore",15.0,
306,Primecare Hospital,"Frazer Town, Bangalore",6.0,
307,Geetha Hospital ,"Avalahalli, Bangalore",1.0,6.0
308,Jayashree Nursing Home,"Kumara Park West, Bangalore",26.0,25.0
309,Mamta Nursing Home,"Wilson Garden, Bangalore",14.0,15.0
310,Health India Hospital,"Tavarekere, Bangalore",1.0,50.0
311,St. Theresa Hospital,"Rajajinagar, Bangalore",19.0,
312,Eskay Healthcare,"Abbigere, Bangalore",7.0,50.0
313,Kangaroo Care Women & Children Hospital,"Vijayanagar, Bangalore",16.0,40.0
314,Rainbow Children's Hospital,"Marathahalli, Bangalore",9.0,
315,Lakshmi Maternity & Surgical  Centre,"Malleswaram, Bangalore",1.0,40.0
316,Sreenagar Nursing Home,"Srinagar, Bangalore",7.0,30.0
317,Cloudnine Hospital,"Bellandur, Bangalore",4.0,30.0
318,Birthright By Rainbow,"Bannerghatta Road, Bangalore",34.0,20.0
319,NU Hospitals,"Padmanabhanagar, Bangalore",1.0,62.0
320,People Tree Maarga,"Yelahanka, Bangalore",8.0,30.0
321,Cure Hospital ,"RT Nagar, Bangalore",1.0,15.0
322,Rainbow Children's Hospital,"Bannerghatta Road, Bangalore",10.0,100.0
323,Brinda Hospital,"Nagarbhavi, Bangalore",12.0,
324,Apollo Cradle,"Koramangala 6 Block, Bangalore",1.0,15.0
325,Deepak Hospital,"Jayanagar, Bangalore",6.0,
326,Pralaksha Hospital,"Hosur Road, Bangalore",17.0,35.0
327,Cure n Care Hospital,"Horamavu, Bangalore",1.0,20.0
328,Sapthagiri Hospital,"Jalahalli, Bangalore",1.0,
329,Birthright By Rainbow,"Marathahalli, Bangalore",1.0,
330,Asha Nursing Home,"Banaswadi, Bangalore",11.0,16.0
331,Spurthy Hospital,"BTM Layout, Bangalore",2.0,15.0
332,Sri Sai Krupa Hospital,"Sahakaranagar, Bangalore",2.0,30.0
333,SMT Shakuntala Patil Eye Hospital & Shakuntala Vision Care,"Basavanagudi, Bangalore",9.0,1.0
334,Athreya Hospital,"Hosur Road, Bangalore",8.0,50.0
335,Sri Venkateshwara Nethralaya,"Rajarajeshwarinagar, Bangalore",10.0,10.0
336,Mathru Nursing Home,"Hulimavu, Bangalore",1.0,15.0
337,Subbiah Hospital,"Mathikere - BEL, Bangalore",11.0,24.0
338,Bhagwan Mahaveer Jain Hospital,"Banashankari 3rd Stage, Bangalore",1.0,100.0
339,Tara Day Care Center,"JP Nagar 8 Phase, Bangalore",6.0,
340,Manipal Hospital,"Whitefield, Bangalore",5.0,280.0
341,The Venlakh Hospital,"Chamarajpet, Bangalore",8.0,50.0
342,Pranavam Ayurvedic Treatment Centre,"Nagawara, Bangalore",8.0,12.0
343,Republic Hospital,"Richmond Town, Bangalore",2.0,70.0
344,Bagavathi Multi Speciality Hospital,"HSR Layout, Bangalore",2.0,40.0
345,SG Hospital,"Banashankari, Bangalore",9.0,
346,Medstar Speciality Hospital,"Sahakaranagar, Bangalore",2.0,35.0
347,S. R. HOSPITAL,"Kumaraswamy Layout, Bangalore",1.0,
348,Dr. Levine Memorial Hospital,"Bellandur, Bangalore",2.0,
349,Trupthi Nursing Home,"Basaveshwaranagar, Bangalore",1.0,10.0
350,Anugraha Nursing Home,"Malleswaram, Bangalore",1.0,15.0
351,Suresh Hospital & Diagnostics,"Rajajinagar, Bangalore",32.0,
352,GarbhaGudi IVF Center,"Kalyan Nagar, Bangalore",7.0,5.0
353,Manipal Ankur Andrology & Reproductive Services,"Jayanagar, Bangalore",2.0,
354,Shri Vijayalakshmi Hospital & Trauma Centre,"Hennur, Bangalore",7.0,15.0
355,Deepashri Hospital,"Nagarbhavi, Bangalore",1.0,
356,Abhay Hospital,"Jnanabharathi, Bangalore",3.0,
357,Sparsh Super Speciality Hospital,"Yeshwanthpur, Bangalore",11.0,250.0
358,HSR Hospital and Maternity Centre,"HSR Layout, Bangalore",3.0,
359,Sai Jyoti Eye and Dental Hospital,"Ulsoor, Bangalore",14.0,10.0
360,Vasan Eye Care Hospital - Rajajinagar,"Rajajinagar, Bangalore",1.0,
361,Beams Hospital,"Koramangala, Bangalore",2.0,8.0
362,Nightingales Home Health Services,"Whitefield, Bangalore",1.0,
363,Blossom Multispecialty Hospital,"Electronics City, Bangalore",10.0,40.0
364,Shraddha Eye Care Hospital,"Padmanabhanagar, Bangalore",2.0,
365,Mathru Multispecialty Hospital,"Kanakpura Road, Bangalore",1.0,35.0
366,Unity Hospital,"Rajarajeshwarinagar, Bangalore",1.0,
367,Bangalore Nethralaya,"Vijayanagar, Bangalore",3.0,
368,Omega Multispeciality Hospital,"Yelahanka New Town, Bangalore",1.0,40.0
369,Vishwa Bharathi Hospital,"Banashankari 1st Stage, Bangalore",7.0,
370,Zilme Hospitals,"Horamavu, Bangalore",3.0,
371,Belaku Eye Hospital,"Kengeri, Bangalore",1.0,
